"","fb_post_id","Topic_page","Topic","likes","comments","shares"
"156","10158446357264433","General","General",5,0,3
"157","10158438702214433","General","General",9,0,3
"158","10158425424234433","General","General",11,1,4
"159","10158425430619433","General","General",4,0,1
"160","10158416988079433","General","General",16,0,5
"161","10158416919604433","General","General",21,0,19
"162","10158413087619433","General","General",10,0,4
"163","10158413078129433","General","General",10,0,1
"164","10158409413999433","General","General",7,0,4
"165","10158409354474433","General","General",6,0,2
"166","10158409142574433","General","General",12,0,3
"167","10158398080689433","General","General",9,0,12
"168","10158393650739433","General","General",22,0,41
"169","10158393641559433","General","General",9,1,4
"170","10158389802514433","General","General",6,2,9
"171","10158386976034433","General","General",20,0,9
"172","10158369608579433","General","General",6,0,3
"173","10158369605094433","General","General",5,0,5
"174","10158369518064433","General","General",8,0,3
"175","10158369465374433","General","General",12,0,4
"176","10158368777119433","General","General",17,0,11
"177","10158363527944433","General","General",8,0,1
"178","10158358949089433","General","General",14,1,4
"179","10158354426469433","General","General",5,1,4
"180","10158350030169433","General","General",16,0,13
"181","10158337633774433","General","General",11,0,3
"182","10158337626254433","General","General",6,0,5
"183","10158333029889433","General","General",6,0,4
"184","10158328973309433","General","General",22,4,10
"185","10158326179874433","General","General",13,0,2
"186","10158325234144433","General","General",9,0,10
"187","10158317233974433","General","General",24,0,23
"188","10158309906579433","General","General",13,2,11
"189","10158309408514433","General","General",12,0,3
"190","10158305777884433","General","General",3,0,6
"191","10158302915809433","General","General",33,0,27
"192","10158298367174433","General","General",9,0,1
"193","10158296279469433","General","General",15,1,8
"194","10158287376319433","General","General",12,1,5
"195","10158282685394433","General","General",13,0,1
"196","10158282679584433","General","General",16,0,8
"197","10158275700329433","General","General",13,0,9
"198","10158278398334433","General","General",20,5,8
"199","10158275080494433","General","General",30,3,0
"200","10158274203289433","General","General",30,2,28
"201","10158270603504433","General","General",53,1,37
"202","10158266545814433","General","General",17,4,6
"203","10158251526099433","General","General",33,2,6
"204","10158244064119433","General","General",3,0,0
"205","10158257028524433","General","General",5,2,1
"206","10158244026629433","General","General",9,0,1
"207","10158247235859433","General","General",7,0,1
"208","10158247421104433","General","General",19,0,8
"209","10158247233254433","General","General",8,1,1
"210","10158243523574433","General","General",10,0,3
"211","10158239549159433","General","General",14,2,7
"212","10158235497429433","General","General",8,0,2
"213","10158224337144433","General","General",2,0,2
"214","10158227683559433","General","General",33,8,7
"215","10158224189544433","General","General",13,0,2
"216","10158223863989433","General","Climate Change",11,0,5
"217","10158216591259433","General","General",10,0,4
"218","10158216618419433","General","General",8,0,5
"219","10158212852734433","General","General",15,0,10
"220","10158209599064433","General","General",9,0,7
"221","10158209466189433","General","General",14,0,3
"222","10158199616684433","General","General",5,0,3
"223","10158199594954433","General","General",5,0,2
"224","10158199555729433","General","General",10,0,2
"225","10158197303339433","General","General",19,0,6
"226","10158193651784433","General","General",2,0,1
"227","10158190783139433","General","General",46,0,42
"228","10158187228104433","General","General",5,0,4
"229","10158174837199433","General","General",3,0,1
"230","10158174842244433","General","General",3,0,3
"231","10158174778659433","General","General",15,12,5
"232","10158171557024433","General","General",8,0,2
"233","10158171559739433","General","General",3,0,0
"234","10158169079914433","General","General",2,0,6
"235","10158165891549433","General","General",22,2,4
"236","10158162061739433","General","General",17,6,12
"237","10158156163099433","General","General",10,0,3
"238","10158156177064433","General","General",5,0,0
"239","10158152892989433","General","General",8,0,5
"240","10158148039984433","General","General",7,0,3
"241","10158147341199433","General","General",6,0,2
"242","10158145030044433","General","General",25,1,11
"243","10158141930334433","General","General",4,0,0
"244","10158134899074433","General","General",7,0,2
"245","10158134896994433","General","General",4,0,1
"246","10158134891194433","General","General",4,0,5
"247","10158129077024433","General","General",10,0,5
"248","10158129071584433","General","General",4,0,2
"249","10158125545539433","General","General",63,6,72
"250","10158122745274433","General","General",13,3,11
"251","10158110212779433","General","General",7,0,1
"252","10158101181774433","General","General",12,0,2
"253","10158101161334433","General","General",7,0,1
"254","10158110209629433","General","General",7,0,2
"255","10158110203689433","General","General",7,0,3
"256","10158101174319433","General","General",5,0,2
"257","10158104051764433","General","General",40,0,28
"258","10158101157004433","General","General",17,0,22
"259","10158086159364433","General","General",14,1,7
"260","10158086151129433","General","General",6,0,0
"261","10158085328559433","General","General",4,1,1
"262","10158082161104433","General","General",9,0,0
"263","10158082147034433","General","General",8,0,6
"264","10158080467359433","General","General",9,0,6
"265","10158069556624433","General","General",5,0,1
"266","10158069604449433","General","General",8,0,0
"267","10158073272639433","General","General",7,0,6
"268","2575240396120291","General","General",7,0,1
"269","2574205392890458","General","General",7,0,5
"270","2573561476288183","General","General",8,0,5
"271","2572547756389555","General","General",9,1,5
"272","2571886099789054","General","General",1,0,1
"273","2570953506548980","General","General",5,0,7
"274","2570107509966913","General","General",10,0,6
"275","2569257786718552","General","General",1,0,2
"276","2568433616800969","General","General",7,0,1
"277","2567663236878007","General","General",20,0,7
"278","2567593903551607","General","General",9,2,7
"279","2566728323638165","General","General",10,0,5
"280","2565724067071924","General","General",12,0,8
"281","2565429277101403","General","General",6,0,2
"282","2564940717150259","General","General",5,1,0
"283","2563840517260279","General","General",9,0,8
"284","2563139533997044","General","General",2,0,0
"285","2562265634084434","General","General",6,0,4
"286","2561413650836299","General","General",5,0,1
"287","2560575150920149","General","General",7,0,5
"288","2559618854349112","General","General",10,0,8
"289","2546350525675945","General","General",2,0,1
